Regions,Longitude,Latitude,Group,ocean_num,Name,Polygon_ind
"North Pacific Ocean, eastern part",179.99899,0,1,1,NPO_E,1
"North Pacific Ocean, eastern part",131.04401,0,1,1,NPO_E,2
"North Pacific Ocean, eastern part",128.67799,0,1,1,NPO_E,3
"North Pacific Ocean, eastern part",128.558,0,1,1,NPO_E,4
"North Pacific Ocean, eastern part",126.858,0,1,1,NPO_E,5
"North Pacific Ocean, eastern part",126.825,0,1,1,NPO_E,6
"North Pacific Ocean, eastern part",125.611,0,1,1,NPO_E,7
"North Pacific Ocean, eastern part",125.45,0,1,1,NPO_E,8
"North Pacific Ocean, eastern part",125.489,0,1,1,NPO_E,9
"North Pacific Ocean, eastern part",125.329,0,1,1,NPO_E,10
"North Pacific Ocean, eastern part",125.329,0,1,1,NPO_E,11
"North Pacific Ocean, eastern part",123.93444,0,1,1,NPO_E,12
"North Pacific Ocean, eastern part",102.983,0,1,1,NPO_E,13
"North Pacific Ocean, eastern part",103.383,1.16528,1,1,NPO_E,14
"North Pacific Ocean, eastern part",103.353,1.19028,1,1,NPO_E,15
"North Pacific Ocean, eastern part",103.517,1.265,1,1,NPO_E,16
"North Pacific Ocean, eastern part",103.5,2,1,1,NPO_E,17
"North Pacific Ocean, eastern part",101.5,6,1,1,NPO_E,18
"North Pacific Ocean, eastern part",98.9,8.47,1,1,NPO_E,19
"North Pacific Ocean, eastern part",98.9,12.5,1,1,NPO_E,20
"North Pacific Ocean, eastern part",98,18,1,1,NPO_E,21
"North Pacific Ocean, eastern part",95,25,1,1,NPO_E,22
"North Pacific Ocean, eastern part",50,31,1,1,NPO_E,23
"North Pacific Ocean, eastern part",119,33,1,1,NPO_E,24
"North Pacific Ocean, eastern part",119,35,1,1,NPO_E,25
"North Pacific Ocean, eastern part",117.3,36.8,1,1,NPO_E,26
"North Pacific Ocean, eastern part",117.3,39.5,1,1,NPO_E,27
"North Pacific Ocean, eastern part",120.5,41.3,1,1,NPO_E,28
"North Pacific Ocean, eastern part",122,41.3,1,1,NPO_E,29
"North Pacific Ocean, eastern part",134,45.8208,1,1,NPO_E,30
"North Pacific Ocean, eastern part",132,55,1,1,NPO_E,31
"North Pacific Ocean, eastern part",142,60,1,1,NPO_E,32
"North Pacific Ocean, eastern part",160,63,1,1,NPO_E,33
"North Pacific Ocean, eastern part",166.2,63,1,1,NPO_E,34
"North Pacific Ocean, eastern part",175,65,1,1,NPO_E,35
"North Pacific Ocean, eastern part",179.99899,66.6,1,1,NPO_E,36
"North Pacific Ocean, eastern part",179.99899,62.5,1,1,NPO_E,37
"North Pacific Ocean, eastern part",179.99899,50.9,1,1,NPO_E,38
"North Pacific Ocean, eastern part",179.99899,0,1,1,NPO_E,39
"North Pacific Ocean, western part",-179.99899,66.6,2,1,NPO_W,1
"North Pacific Ocean, western part",-178,67.3,2,1,NPO_W,2
"North Pacific Ocean, western part",-174.28574,66.05594,2,1,NPO_W,3
"North Pacific Ocean, western part",-171.06667,66.55,2,1,NPO_W,4
"North Pacific Ocean, western part",-164.73334,66.55,2,1,NPO_W,5
"North Pacific Ocean, western part",-164.73334,66.1,2,1,NPO_W,6
"North Pacific Ocean, western part",-161.22378,65.88359,2,1,NPO_W,7
"North Pacific Ocean, western part",-155,65,2,1,NPO_W,8
"North Pacific Ocean, western part",-150,62.5,2,1,NPO_W,9
"North Pacific Ocean, western part",-137,60,2,1,NPO_W,10
"North Pacific Ocean, western part",-135,60,2,1,NPO_W,11
"North Pacific Ocean, western part",-120,47,2,1,NPO_W,12
"North Pacific Ocean, western part",-113,32,2,1,NPO_W,13
"North Pacific Ocean, western part",-106.825,23.65,2,1,NPO_W,14
"North Pacific Ocean, western part",-99,19.36,2,1,NPO_W,15
"North Pacific Ocean, western part",-90,15,2,1,NPO_W,16
"North Pacific Ocean, western part",-86,14,2,1,NPO_W,17
"North Pacific Ocean, western part",-82.27,8.61,2,1,NPO_W,18
"North Pacific Ocean, western part",-80.7,8.2,2,1,NPO_W,19
"North Pacific Ocean, western part",-79.5,9.15,2,1,NPO_W,20
"North Pacific Ocean, western part",-78.4,9.15,2,1,NPO_W,21
"North Pacific Ocean, western part",-77.7,8,2,1,NPO_W,22
"North Pacific Ocean, western part",-76,6,2,1,NPO_W,23
"North Pacific Ocean, western part",-78,0,2,1,NPO_W,24
"North Pacific Ocean, western part",-179.99899,0,2,1,NPO_W,25
"North Pacific Ocean, western part",-179.99899,50.9,2,1,NPO_W,26
"North Pacific Ocean, western part",-179.99899,62.5,2,1,NPO_W,27
"North Pacific Ocean, western part",-179.99899,66.6,2,1,NPO_W,28
"South Pacific Ocean, eastern part",179.99899,-48,3,1,SPO_E,1
"South Pacific Ocean, eastern part",158.36353,-48,3,1,SPO_E,2
"South Pacific Ocean, eastern part",146.91048,-48,3,1,SPO_E,3
"South Pacific Ocean, eastern part",146.14106,-48,3,1,SPO_E,4
"South Pacific Ocean, eastern part",146.824,-43.6444,3,1,SPO_E,5
"South Pacific Ocean, eastern part",144.683,-40.6819,3,1,SPO_E,6
"South Pacific Ocean, eastern part",143.923,-40.1567,3,1,SPO_E,7
"South Pacific Ocean, eastern part",143.95,-39.5833,3,1,SPO_E,8
"South Pacific Ocean, eastern part",143.50999,-38.8583,3,1,SPO_E,9
"South Pacific Ocean, eastern part",126.958,-13.7333,3,1,SPO_E,10
"South Pacific Ocean, eastern part",122.85,-10.9417,3,1,SPO_E,11
"South Pacific Ocean, eastern part",121.275,-10.825,3,1,SPO_E,12
"South Pacific Ocean, eastern part",120.458,-10.3153,3,1,SPO_E,13
"South Pacific Ocean, eastern part",118.933,-9.55,3,1,SPO_E,14
"South Pacific Ocean, eastern part",118.5,-8.89167,3,1,SPO_E,15
"South Pacific Ocean, eastern part",116.731,-9.01111,3,1,SPO_E,16
"South Pacific Ocean, eastern part",116.592,-8.86667,3,1,SPO_E,17
"South Pacific Ocean, eastern part",115.842,-8.82778,3,1,SPO_E,18
"South Pacific Ocean, eastern part",115.592,-8.82222,3,1,SPO_E,19
"South Pacific Ocean, eastern part",115.117,-8.85,3,1,SPO_E,20
"South Pacific Ocean, eastern part",114.533,-8.775,3,1,SPO_E,21
"South Pacific Ocean, eastern part",105.242,-6.83889,3,1,SPO_E,22
"South Pacific Ocean, eastern part",104.556,-5.92778,3,1,SPO_E,23
"South Pacific Ocean, eastern part",102,0,3,1,SPO_E,24
"South Pacific Ocean, eastern part",179.99899,0,3,1,SPO_E,25
"South Pacific Ocean, eastern part",179.99899,-48,3,1,SPO_E,26
"South Pacific Ocean, eastern part",179.99899,-48,3,1,SPO_E,27
"South Pacific Ocean, western part",-179.99899,0,4,1,SPO_W,1
"South Pacific Ocean, western part",-78,0,4,1,SPO_W,2
"South Pacific Ocean, western part",-69,-19.5,4,1,SPO_W,3
"South Pacific Ocean, western part",-71,-48,4,1,SPO_W,4
"South Pacific Ocean, western part",-67.18794,-48,4,1,SPO_W,5
"South Pacific Ocean, western part",-179.99899,-48,4,1,SPO_W,6
"South Pacific Ocean, western part",-179.99899,0,4,1,SPO_W,7
North Atlantic Ocean,5,61,5,2,NAO,1
North Atlantic Ocean,7.05,60.7,5,2,NAO,2
North Atlantic Ocean,7.05,57.98,5,2,NAO,3
North Atlantic Ocean,10,60,5,2,NAO,4
North Atlantic Ocean,12,60,5,2,NAO,5
North Atlantic Ocean,12,57.75,5,2,NAO,6
North Atlantic Ocean,10.597,57.75,5,2,NAO,7
North Atlantic Ocean,9.36,57.07,5,2,NAO,8
North Atlantic Ocean,8.61,57.07,5,2,NAO,9
North Atlantic Ocean,8.61,55.5,5,2,NAO,10
North Atlantic Ocean,10.03,53.47,5,2,NAO,11
North Atlantic Ocean,4,50.96,5,2,NAO,12
North Atlantic Ocean,1.92,50.96,5,2,NAO,13
North Atlantic Ocean,1.50601,49.86019,5,2,NAO,14
North Atlantic Ocean,-0.38511,49.11273,5,2,NAO,15
North Atlantic Ocean,-1.75911,49.55129,5,2,NAO,16
North Atlantic Ocean,-1.3178,48.60607,5,2,NAO,17
North Atlantic Ocean,-4,48.25,5,2,NAO,18
North Atlantic Ocean,-0.4,47,5,2,NAO,19
North Atlantic Ocean,-0.4,43.1,5,2,NAO,20
North Atlantic Ocean,-8.45,43.1,5,2,NAO,21
